TYPE,CATEGORY,NAME,LATITUDE,LONGITUDE,ADDRESS,CITY,STATE,ZIP,COUNTY,desc,STRATEGIC VALUE,ECONOMIC IMPACT,PHYSICAL IMPACT,SYSTEMIC IMPACT,PHYSICAL IMPACT RADIUS (mi),ZIPS AFFECTED,OCCUPIED HOUSING UNITS,POPULATION AFFECTED,RAW_IMPACT
Local Emergency Operations Center,Emergency Services,Ochiltree County Emergency Operations Center,36.3989108,-100.8017686,21 Southeast 2Nd Avenue,Perryton,TX,79070,Ochiltree County,This county-level emergency operations center services Ochiltree County. It can be reached at 806-435-4002.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,White Settlement Emergency Operations Center,32.766643,-97.472139,8900 Clifford Street,White Settlement,TX,76108,Tarrant County,This local emergency operations center services White Settlement. It can be reached at 817-246-7070.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Oldham County Emergency Operations Center,35.2466678,-102.4276521,105 South Main Street,Vega,TX,79092,Oldham County,This county-level emergency operations center services Oldham County. It can be reached at 806-267-2607.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Robstown Emergency Operations Center,27.7891381,-97.6637706,430 East Main Avenue,Robstown,TX,78380,Nueces County,This local emergency operations center services Robstown. It can be reached at 361-387-3531.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,San Patricio County Emergency Operations Center,28.0393879,-97.5099757,300 North Rachal Street,Sinton,TX,78387,San Patricio County,This county-level emergency operations center services San Patricio County. It can be reached at 361-364-6144.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Panola County Emergency Operations Center,32.155522,-94.3411655,110 South Sycamore Street,Carthage,TX,75633,Panola County,This county-level emergency operations center services Panola County. It can be reached at 903-693-0302.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,City Of University Park Emergency Operations Center,32.8457496,-96.7969309,3800 University Boulevard,University Park,TX,75205,Dallas County,This local emergency operations center services University Park. It can be reached at 214-987-5380.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Farmers Branch Emergency Operations Center,32.9249587,-96.8546162,3723 Valley View Lane,Farmers Branch,TX,75244,Dallas County,This local emergency operations center services Farmers Branch. It can be reached at 972-919-9363.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,San Saba County Emergency Operations Center,31.1952582,-98.714956,104 South Water Street,San Saba,TX,76877,San Saba County,This county-level emergency operations center services San Saba County. It can be reached at 325-372-5551.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Schleicher County Emergency Operations Center,30.860063,-100.6003763,4 South Divide Street,El Dorado,TX,76936,Schleicher County,This county-level emergency operations center services Schleicher County. It can be reached at 325-853-2737.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Sherman County Emergency Operations Center,36.338191,-102.0702008,701 North 3Rd Street,Stratford,TX,79084,Sherman County,This county-level emergency operations center services Sherman County. It can be reached at 806-366-2021.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Sherman County Emergency Operations Center-Alternate,36.3356657,-102.0705486,101 North Pearl Street,Stratford,TX,79084,Sherman County,This county-level emergency operations center services Sherman County. It can be reached at 806-366-3054.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Swisher County Emergency Operations Center-Alternate,34.5365442,-101.7638088,119 South Maxwell Avenue,Tulia,TX,79088,Swisher County,This county-level emergency operations center services Swisher County. It can be reached at 806-995-3504.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Roberts County Emergency Operations Center,35.6908968,-100.6379844,112 South Main Street,Miami,TX,79059,Roberts County,This county-level emergency operations center services Roberts County. It can be reached at 806-868-3121.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Arlington Emergency Operations Center,32.7384998,-97.1136068,620 West Division Street,Arlington,TX,76011,Tarrant County,This local emergency operations center services Arlington. It can be reached at 817-459-6941.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Sutton County Emergency Operations Center,30.5733039,-100.6439721,309 East Oak Street,Sonora,TX,76950,Sutton County,This county-level emergency operations center services Sutton County. It can be reached at 325-387-2288.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,White Settlement Emergency Operations Center-Alternate,32.7579443,-97.4601493,8308 Hanon Drive,White Settlement,TX,76108,Tarrant County,This local emergency operations center services White Settlement. It can be reached at 817-246-1761.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Winkler County Emergency Operations Center,31.855701,-103.0973095,110 South Tornillo Street,Kermit,TX,79745,Winkler County,This county-level emergency operations center services Winkler County. It can be reached at 432-586-2577.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Hunt County Emergency Operations Center-Alternate,33.2486874,-95.89912,1103 Sycamore Street,Commerce,TX,75428,Hunt County,This county-level emergency operations center services Hunt County. It can be reached at 903-886-1139.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Wise County Emergency Operations Center,33.2321119,-97.6107028,200 Rook Ramsey Drive,Decatur,TX,76234,Wise County,This county-level emergency operations center services Wise County. It can be reached at 817-627-5971.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Zapata County Emergency Operations Center-Alternate,26.9055798,-99.2734328,1207 Kennedy Street,Zapata,TX,78076,Zapata County,This county-level emergency operations center services Zapata County. It can be reached at 956-765-8024.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Merkel Emergency Operations Center,32.4709839,-100.0123972,100 Kent Street,Merkel,TX,79536,Taylor County,This local emergency operations center services Merkel. It can be reached at 325-928-4911.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Waller County Emergency Operations Center-Alternate,30.0978466,-96.0771633,836 Austin Street,Hempstead,TX,77445,Waller County,This county-level emergency operations center services Waller County. It can be reached at 979-826-3357.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,City Of Mobeetie Emergency Operations Center-Alternate,35.5327769,-100.4390498,512 5Th Street,Mobeetie,TX,79061,Wheeler County,This local emergency operations center services Mobeetie. It can be reached at 806-845-2301.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,City Of Shamrock Emergency Operations Center-Alternate,35.2152711,-100.2500692,114 West 2Nd Street,Shamrock,TX,79079,Wheeler County,This local emergency operations center services Shamrock. It can be reached at 806-256-3281.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Wheeler County Emergency Operations Center-Alternate,35.4450249,-100.2941704,1410 West Oklahoma Avenue,Wheeler,TX,79096,Wheeler County,This county-level emergency operations center services Wheeler County. It can be reached at 806-826-3186.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Euless Emergency Operations Center,32.8290472,-97.1022402,1102 West Euless Boulevard,Euless,TX,76040,Tarrant County,This local emergency operations center services Euless. It can be reached at 817-685-1526.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Hutchins Emergency Operations Center,32.6492104,-96.7141405,205 West Hickman Street,Hutchins,TX,75141,Dallas County,This local emergency operations center services Hutchins. It can be reached at 972-225-2224.,0,0,0,1,0,,,,1
